ID,Reference(s),Map update,Reference DOI #,"Latitude (decimal deg., WGS 84)","Longitude (decimal deg., WGS 84)",event.start,event.end
GTM_02,"MacGregor and O'Connor, 2002",2010,,15.10438696,-13.74913523,1988,1992
GTM_03,"Tafangenyasha, 2001, Tafangenyasha, 1998, Tafanenyasha, 1997",2010,,-22.9510888,25.79291711,1970,1992
GTM_04,"Gonzalez, 2001",2010,,-22.9510888,25.79291711,1945,1993
GTM_05,"Viljoen, 1995",2010,,19.00743951,-9.674186501,1991,1993
GTM_06,"O'Connor, 1999",2010,,-22.29173363,30.68072133,1982,1997
GTM_07,"Lwanga, 2003",2010,,-22.10742839,30.0161307,1999,
GTM_08,"Foden et al., 2007",2010,,-1.230441274,25.20590937,1904,2002
GTM_09,"Bentouati, 2008, Bentouati and Bariteau, 2006, Chenchouni et al., 2008,",2010,,-2.000413208,29.85879351,2000,2008
GTM_10," El Abidine, 2003, Adil, 2008",2010,,33.79204984,-3.255338847,2002,2008
GTM_100,"Liu, Hongyan, et al. ""Rapid warming accelerates tree growth decline in semi?arid forests of Inner Asia."" Global change biology 19.8 (2013): 2500-2510.",2014,https://doi.org/10.1111/gcb.12217,43.71667,87.4,1994,ongoing
GTM_101,"Zhou, Guoyi, et al. ""A climate change?induced threat to the ecological resilience of a subtropical monsoon evergreen broad?leaved forest in Southern China."" Global Change Biology 19.4 (2013): 1197-1210.",2014,https://doi.org/10.1111/gcb.12128,23.15583,112.5442,1978,2010
GTM_102,"Brouwers, Niels, et al. ""Landscape-scale assessment of tree crown dieback following extreme drought and heat in a Mediterranean eucalypt forest ecosystem."" Landscape Ecology 28.1 (2013): 69-80.",2014,https://doi.org/10.1007/s10980-012-9815-3,-30.75,115.8667,2010,2011
GTM_103,"Fensham, R. J., R. J. Fairfax, and J. M. Dwyer. ""Potential aboveground biomass in drought?prone forest used for rangeland pastoralism."" Ecological Applications 22.3 (2012): 894-908.",2014,https://doi.org/10.1890/11-1123.1,-26.355,144.58,2003,2007
GTM_104,"Kharuk, V. I., et al. ""Siberian pine decline and mortality in southern Siberian mountains."" Forest ecology and management 310 (2013): 312-320.",2014,https://doi.org/10.1016/j.foreco.2013.08.042,54.133,88.75,2006,2012
