ID,map.update,long,lat,reference,doi,event.start,event.end
GTM_01,2010,-16.25,15.25,"Poupon, 1980",,1972,1973
GTM_02,2010,29.25,-22.25,"MacGregor and O'Connor, 2002",,1988,1992
GTM_03,2010,32.25,-21.25,"Tafangenyasha, 2001, Tafangenyasha, 1998, Tafanenyasha, 1997",,1970,1992
GTM_04,2010,-16.25,15.75,"Gonzalez, 2001",,1945,1993
GTM_05,2010,31.25,-22.75,"Viljoen, 1995",,1991,1993
GTM_06,2010,29.25,-22.25,"O'Connor, 1999",,1982,1997
GTM_07,2010,30.25,0.75,"Lwanga, 2003",,1999,
GTM_08,2010,14.75,-20.75,"Foden et al., 2007",,1904,2002
GTM_09,2010,6.25,35.25,"Bentouati, 2008, Bentouati and Bariteau, 2006, Chenchouni et al., 2008,",,2000,2008
GTM_10,2010,-4.155895162,33.94113428," El Abidine, 2003, Adil, 2008",,2002,2008
GTM_11,2010,80.75,6.75,"Werner, 1988",,1976,1980
GTM_12,2010,118.25,5.75,"Woods, 1989; Becker et al., 1998; Leighton and Wirawan, 1986",,1982,1983
GTM_13,2010,70.75,21.25,"Khan et al., 1994",,1987,
GTM_14,2010,57.25,23.25,"Fischer amd Gardner, 1995; Fischer, 1997; Gardner amd Fischer, 1996",,1990,
GTM_14_2,2010,42.25,18.25,,,,
GTM_15,2010,104.75,-5.75,"Kinnaird and O'Brein, 1998",,1997,1998
GTM_16,2010,116.75,-1.25,"van Nieuwstadt and Shiel, 2005; Potts, 2003; Aiba and Kitayama, 2002; Slik, 2004",,1997,1998
GTM_17,2010,114.25,-1.75,"Nishimua et al., 2007",,1997,1998
GTM_18,2010,113.75,4,"Nakagawa et al., 2000",,1997,1998
GTM_19,2010,113.674099,36.36993,"Wang et al., 2007",,1998,2001
GTM_20,2010,101.496784,24.56913983,"Li, 2003",,1986,2005
GTM_21,2010,31.08578257,37.08785949,"Semerci et al., 2008",,2002,2007
GTM_22,2010,128.9100855,35.50867163,"Lim et al., 2008; 
Woo et al., 2007",,2003,2008
GTM_23,2010,102.1588114,53.35826275,"Ermolenko, 2008",,2005,2008
GTM_24,2010,172.25,-41.75,"Hosking and Kershaw, 1985",,1978,1980
GTM_25,2010,176.25,-39.25,"Hosking amd Hutcheson, 1988",,1984,1987
GTM_26,2010,145.25,-18.75,"Fensham and Holman, 1999; Fensham, 1998; Rice et al., 2004",,1992,1996
GTM_27,2010,147.75,-24.75,"Fensham et al., 2003; Fensham et al., 2009",,1990,2002
GTM_28,2010,146.25,-23.25,"Fensham and Fairfax, 2007",,2004,
GTM_29,2010,0.916666667,41.21666667,"Ogaya and Penuelas, 2007",,,
GTM_30,2010,7.177394357,46.13504799,"Kienast et al., 1981",,1960,1976
GTM_32,2010,-0.500106793,43.51419223,"Nageleisen, 1994, Nageleisen et al., 1991, Delatour, 1983",,1980,85
GTM_33,2010,17.25,51.75,"Siwecki and Ufnaksi, 1998",,1979,1987
GTM_34,2010,21.25,39.75,"Markalas, 1992, Kailidis and Markalas, 1990",,1987,1989
GTM_35,2010,11.297085,46.70946537,"Minerbi, 1993",,1992,
GTM_36,2010,15.25,48.75,"Cech and Tomiczek, 1996",,1990,1996
GTM_37,2010,10.75,47.41047491,"Cech and Perny, 2000",,1991,1997
GTM_38,2010,7.75,45.75,"Vertui and Tagliaferro, 1996",,1985,1998
GTM_39,2010,2.25,41.75,"Penuelas et al., 2001, Lloret and Siscart, 1995, Lloret et al., 2004, Martinez-Vilalta and Pinol, 2002",,1994,1998
GTM_40,2010,4.651365967,49.827561,"Annual Reports from French Forest Health Department, 1998-99",,1998,
GTM_41,2010,6.75,58.25,"Solberg, 2004",,1992,2000
GTM_42,2010,26.75,37.75,"Körner et al., 2005, Sarris et al., 2007",,2000,
GTM_43,2010,11.61745615,47.24638,"Oberhuber, 2001",,2001,
GTM_44,2010,21.75,38.75,"Tsopelas et al., 2004, Raftoyannis et al., 2008",,2000,2002
GTM_45,2010,8.25,47.25,"Forster et al., 2008",,2003,
GTM_46,2010,7.75,46.25,"Wermelinger et al., 2008, Dobbertin et al., 2007,Bigler et al., 2006, Dobbertin & Rigling 2006, Rigling et al., 2006, Dobbertin et al., 2005, Rebetez and Dobbertin, 2004, Rigling and Cherubini, 1999",,1973,2004
GTM_47,2010,9.25,48.75,"Petercord, 2008",,2003,2006
GTM_48,2010,-2.75,37.25,"Navarro et al., 2007",,2004,2006
GTM_49,2010,41.07402294,64.8032495,"Shtrakhov, 2008, Kauhanen et al., 2008",,2004,2006
GTM_51,2010,5.766294808,43.32739207,"Vennetier, 2007, Thabeet, 2008",,2003,2008
GTM_53,2010,2.600024134,42.59820076,"Annual Reports from French Forest Health Department, 2003-2008",,2003,2008
GTM_54,2010,6.609677235,43.37386895,"Vennetier, 2008",,2006,2008
GTM_55,2010,-83.25,35.25,"Stringer et al., 1989; Starkey & Oak 1989; Starkey et al., 1989; Clinton et al., 1993; Millers et al., 1989; Tainter et al., 1983; Tainter et al., 1984; Law and Gott 1987; Kessler, 1989;  Jenkins and Pallardy, 1993; Jenkins and Pallardy, 1995; Kloeppel et al., 2003",,1970,1980
GTM_56,2010,-92.37800995,47.27482603,"Millers et al., 1989",,1984,
GTM_58,2010,-82.25,35.75,"Olano and Palmer, 2003",,1984,1989
GTM_59,2010,-93.25,45.25,"Faber-Langendoen and Tester, 1993",,1987,1989
GTM_60,2010,-71.11230828,46.01116918,"Hendershot and Jones 1989, Payette et al., 1996, Auclair et al., 1996, Roy et al., 2004, Robitaille et al., 1982",,1980,
GTM_61,2010,-116.75,34.25,"Savage, 1997",,1985,1990
GTM_62,2010,-119.75,37.75,"Guarin and Taylor, 2005",,1986,1992
GTM_63,2010,-120.25,39.25,"Macomber and Woodcock, 1994",,1986,1992
GTM_64,2010,-120.1255042,38.99338536,"Ferrell, 1996",,1986,1992
GTM_65,2010,-119.25,38.25,"Millar et al., 2007",,1985,1995
GTM_66,2010,-121.75,39.25,"Mueller et al., 2005; Ogle et al., 2000; Trotter, 2004",,1996,
GTM_66,2010,-111.4625697,35.35909423,"Mueller et al., 2005; Ogle et al., 2000; Trotter, 2004",,1996,
GTM_67,2010,-119.75,55.25,"Hogg et al., 2002",,1990,1997
GTM_68,2010,-93.42563437,35.50193665,"Starkey et al., 2004; Kabrick et al., 2004; Oak et al., 2004; Voelker et al., 2008; Heitzman et al., 2004; Spetich, 2004; Lawrence et al., 2002",,1990,2002
GTM_69,2010,-119.75,37.75,"van Mantgem and Stephenson, 2007",,1983,2004
GTM_70,2010,-149.75,61.25,"Berg et al., 2006",,1989,2004
GTM_71,2010,-112.25,36.75,"Gitlin et al., 2006, Burkett et al., 2005",,2000,2004
